,text,sarcasm_label
0,Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR,1
1,@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;),1
2,Hey there! Nice to see you Minnesota/ND Winter Weather ,1
3,3 episodes left I'm dying over here,0
4,I can't breathe! was chosen as the most notable quote of the year in an annual list released by a Yale University librarian ,1
5,You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ,0
6,Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. ,1
7,4:30 an opening my first beer now gonna be a long night/day,0
8,@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.,0
9,@samcguigan544 You are not allowed to open that until Christmas day!,0
10,"Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. ",1
11,"But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. ",0
12,@TargetZonePT :pouting_face: no he bloody isn't I was upstairs getting changed !,0
13,Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?,0
14,Just great when you're mobile bill arrives by text ,1
15,crushes are great until you realize they'll never be interested in you.| :p,1
16,Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. ,1
17,I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut,0
18,@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. ,1
19,"But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!",1
20,@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone ,1
21,"I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.",0
22,@yWTorres9 time to hit the books then ,1
23,@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!,0
24,Love these cold winter mornings :grimacing_face: best feeling everrrrrrr !,1
25,Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32,0
26,Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen :heavy_black_heart:️:heavy_black_heart:️ http://t.co/queL09fqyr,0
27,The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:,0
28,"I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat",0
29,"see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66",0
30,Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess ,1
31,A wonderful day of starting work at 6am ,1
32,i feel like whole life is about waiting waiting and waiting,0
33,@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip,0
34,"@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago",1
35,"#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W",0
36,"Twig is now ""Sprig""—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq",1
37,@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..,0
38,Yay for another work at 4am day :neutral_face: ,1
39,Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep,1
40,Omg @FloptimusCrime didn't tell @giantfootyguy he was in town :face_screaming_in_fear: #trueFriend ,1
41,"I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.",1
42,"HaHaHaHa!! #hypocrisy  ""MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl""",1
43,That moment when you have so much stuff to do but you open @tumblr ... #productivity  #tumblr,1
44,Lol! I m enjoying it:two_women_holding_hands: #Talks #Crazyness #SheNeverLeft  sleepy!! :white_smiling_face:,0
45,Luv this ,1
46,": When some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons. #Naturopath=#Apothecary #Herb=#Poison",1
47,@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986,0
48,"really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48",0
49,@malesurvivor72 I think it's a safe bet it won't fit the crime.,0
50,It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy ,1
51,When you're already running late and then your car won't start <<< #FantasticFriday ,1
52,i decided to become my own boss to have more free time.. now i have no time left whatsoever. ,1
53,loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection,0
54,American Kids starting playing and now I'm super missing #summer2k14 #kennychesney,0
55,@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?,0
56,"None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB",0
57,that way people get to understand disabilities and not stare at us funny wen we out and about#IDPwD#disability,0
58,@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. ,1
59,Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?,0
60,Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue,0
61,"@Parlett316 ""Dirk's got a lot of moves I'm trying to steal."" - Kevin Durant on his one-legged fadeway",0
62,About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge  http://t.co/sF9o6OWE1v,1
63,"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!   http://t.co/vFP1ehx7yL",1
64,"Whatever happened to the Guano Apes? Did they ever make it ""Big in Japan""? ",1
65,Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the... http://t.co/DELfxN0BpI,0
66,Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing.,0
67,"Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college",0
68,I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face::hundred_points_symbol:  or #naah,1
69,Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW,1
70,Such .   You still have to #praisehim ;),1
71,Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman http://t.co/9tuskhVYbJ,0
72,@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!! ,1
73,Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z,0
74,@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps ,1
75,I love finals week! #justkidding  #stressed,1
76,"@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!",0
77,Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek  Ready #JustShootMeKnow,0
78,@RashawnFranklin Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards.,0
79,.@nypost .@Cameron_Gray Oh that makes it all better!!! ,1
80,Why didn't I start watching the tudors earlier? #iloveit,0
81,@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7,0
82,"don't knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! im just living they same you are dude",0
83,GET AHT A TAHN!|The Made in PGH Gift Guide https://t.co/ziTWyuzN6a via @getfitpgh,0
84,On my lunch break so sleepy:sleeping_face:,0
85,#Work#Trains#TheGrind#London#Business#MyHappyFace http://t.co/fdE2iQpuQz,1
86,"dude said I better think hard , so he can take me to cheddars lmao ! ",1
87,My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM,0
88,Overcast at Creso. #todayimloving #beachwalk #crescenthead http://t.co/daEk2DAjBg,0
89,2014 can't end fast enough! Stupid dead battery.,0
90,Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee,1
